,Tipo de generación,Generación [kWh],Mes,Generación [GWh],Mes_s,Año,Date,Month,Total,Climateadj,Anom
2004-01-01,Motor Reciprocante,211281284.931747,January,211.281284931747,Enero,2004,2004-01-01,Enero,26.83,26.45,0.38
2004-01-01,Motor Reciprocante,211281284.931747,January,211.281284931747,Enero,2004,2004-02-01,Febrero,27.0,26.66,0.34
2004-01-01,Motor Reciprocante,211281284.931747,January,211.281284931747,Enero,2004,2004-03-01,Marzo,27.41,27.21,0.21
2004-01-01,Motor Reciprocante,211281284.931747,January,211.281284931747,Enero,2004,2004-04-01,Abril,27.89,27.73,0.16
2004-01-01,Motor Reciprocante,211281284.931747,January,211.281284931747,Enero,2004,2004-05-01,Mayo,27.99,27.85,0.14
2004-01-01,Motor Reciprocante,211281284.931747,January,211.281284931747,Enero,2004,2004-06-01,Junio,27.85,27.65,0.2
2004-01-01,Motor Reciprocante,211281284.931747,January,211.281284931747,Enero,2004,2004-07-01,Julio,27.77,27.26,0.51
2004-01-01,Motor Reciprocante,211281284.931747,January,211.281284931747,Enero,2004,2004-08-01,Agosto,27.6,26.91,0.7
2004-01-01,Motor Reciprocante,211281284.931747,January,211.281284931747,Enero,2004,2004-09-01,Septiembre,27.52,26.8,0.72
2004-01-01,Motor Reciprocante,211281284.931747,January,211.281284931747,Enero,2004,2004-10-01,Octubre,27.44,26.75,0.68
2004-01-01,Motor Reciprocante,211281284.931747,January,211.281284931747,Enero,2004,2004-11-01,Noviembre,27.36,26.75,0.61
2004-01-01,Motor Reciprocante,211281284.931747,January,211.281284931747,Enero,2004,2004-12-01,Diciembre,27.34,26.65,0.69
2004-01-01,Turbina de Vapor,184624819.743247,January,184.624819743247,Enero,2004,2004-01-01,Enero,26.83,26.45,0.38
2004-01-01,Turbina de Vapor,184624819.743247,January,184.624819743247,Enero,2004,2004-02-01,Febrero,27.0,26.66,0.34
2004-01-01,Turbina de Vapor,184624819.743247,January,184.624819743247,Enero,2004,2004-03-01,Marzo,27.41,27.21,0.21
2004-01-01,Turbina de Vapor,184624819.743247,January,184.624819743247,Enero,2004,2004-04-01,Abril,27.89,27.73,0.16
2004-01-01,Turbina de Vapor,184624819.743247,January,184.624819743247,Enero,2004,2004-05-01,Mayo,27.99,27.85,0.14
2004-01-01,Turbina de Vapor,184624819.743247,January,184.624819743247,Enero,2004,2004-06-01,Junio,27.85,27.65,0.2
2004-01-01,Turbina de Vapor,184624819.743247,January,184.624819743247,Enero,2004,2004-07-01,Julio,27.77,27.26,0.51
2004-01-01,Turbina de Vapor,184624819.743247,January,184.624819743247,Enero,2004,2004-08-01,Agosto,27.6,26.91,0.7
2004-01-01,Turbina de Vapor,184624819.743247,January,184.624819743247,Enero,2004,2004-09-01,Septiembre,27.52,26.8,0.72
2004-01-01,Turbina de Vapor,184624819.743247,January,184.624819743247,Enero,2004,2004-10-01,Octubre,27.44,26.75,0.68
2004-01-01,Turbina de Vapor,184624819.743247,January,184.624819743247,Enero,2004,2004-11-01,Noviembre,27.36,26.75,0.61
2004-01-01,Turbina de Vapor,184624819.743247,January,184.624819743247,Enero,2004,2004-12-01,Diciembre,27.34,26.65,0.69
2004-01-01,Hidroeléctrica,167180138.363401,January,167.180138363401,Enero,2004,2004-01-01,Enero,26.83,26.45,0.38
2004-01-01,Hidroeléctrica,167180138.363401,January,167.180138363401,Enero,2004,2004-02-01,Febrero,27.0,26.66,0.34
2004-01-01,Hidroeléctrica,167180138.363401,January,167.180138363401,Enero,2004,2004-03-01,Marzo,27.41,27.21,0.21
2004-01-01,Hidroeléctrica,167180138.363401,January,167.180138363401,Enero,2004,2004-04-01,Abril,27.89,27.73,0.16
2004-01-01,Hidroeléctrica,167180138.363401,January,167.180138363401,Enero,2004,2004-05-01,Mayo,27.99,27.85,0.14
2004-01-01,Hidroeléctrica,167180138.363401,January,167.180138363401,Enero,2004,2004-06-01,Junio,27.85,27.65,0.2
2004-01-01,Hidroeléctrica,167180138.363401,January,167.180138363401,Enero,2004,2004-07-01,Julio,27.77,27.26,0.51
2004-01-01,Hidroeléctrica,167180138.363401,January,167.180138363401,Enero,2004,2004-08-01,Agosto,27.6,26.91,0.7
2004-01-01,Hidroeléctrica,167180138.363401,January,167.180138363401,Enero,2004,2004-09-01,Septiembre,27.52,26.8,0.72
2004-01-01,Hidroeléctrica,167180138.363401,January,167.180138363401,Enero,2004,2004-10-01,Octubre,27.44,26.75,0.68
2004-01-01,Hidroeléctrica,167180138.363401,January,167.180138363401,Enero,2004,2004-11-01,Noviembre,27.36,26.75,0.61
2004-01-01,Hidroeléctrica,167180138.363401,January,167.180138363401,Enero,2004,2004-12-01,Diciembre,27.34,26.65,0.69
2004-01-01,Geotérmica,17208452.916114,January,17.208452916114,Enero,2004,2004-01-01,Enero,26.83,26.45,0.38
2004-01-01,Geotérmica,17208452.916114,January,17.208452916114,Enero,2004,2004-02-01,Febrero,27.0,26.66,0.34
2004-01-01,Geotérmica,17208452.916114,January,17.208452916114,Enero,2004,2004-03-01,Marzo,27.41,27.21,0.21
2004-01-01,Geotérmica,17208452.916114,January,17.208452916114,Enero,2004,2004-04-01,Abril,27.89,27.73,0.16
2004-01-01,Geotérmica,17208452.916114,January,17.208452916114,Enero,2004,2004-05-01,Mayo,27.99,27.85,0.14
2004-01-01,Geotérmica,17208452.916114,January,17.208452916114,Enero,2004,2004-06-01,Junio,27.85,27.65,0.2
2004-01-01,Geotérmica,17208452.916114,January,17.208452916114,Enero,2004,2004-07-01,Julio,27.77,27.26,0.51
2004-01-01,Geotérmica,17208452.916114,January,17.208452916114,Enero,2004,2004-08-01,Agosto,27.6,26.91,0.7
2004-01-01,Geotérmica,17208452.916114,January,17.208452916114,Enero,2004,2004-09-01,Septiembre,27.52,26.8,0.72
2004-01-01,Geotérmica,17208452.916114,January,17.208452916114,Enero,2004,2004-10-01,Octubre,27.44,26.75,0.68
